date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:16	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c6cf-31057f72295d28ad;gz%22	https://5apps.click/robots.txt		(from )
16:40:16	19336/19336	---M-Z	200	added ('OK')	text/html	etag:%224b88-62abdfad-bbb8d5e39700a2bf;gz%22	https://5apps.click/apps/	C:/Users/FUJITSI/Desktop/rtr/5apps.click/apps/index.html	(from )
16:40:16	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c6cf-31057f72295d28ad;gz%22	https://5apps.click/apps/path/to/font-awesome/css/font-awesome.min.css	C:/Users/FUJITSI/Desktop/rtr/5apps.click/apps/path/to/font-awesome/css/font-awesome.min.css	(from https://5apps.click/apps/)
16:40:17	28747/28747	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-704b%22	http://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.css	C:/Users/FUJITSI/Desktop/rtr/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.css	(from https://5apps.click/apps/)
16:40:18	31087/31087	---M-Z	200	added ('OK')	text/css	etag:%22796f-625c91ac-590c45ecd0487b28;gz%22	https://5apps.click/apps/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/FUJITSI/Desktop/rtr/5apps.click/apps/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://5apps.click/apps/)
16:40:18	62299/62299	---M-Z	200	added ('OK')	image/x-icon	etag:%22f35b-625c91ac-5c9f10d019085946;gz%22	https://5apps.click/apps/favicon.ico	C:/Users/FUJITSI/Desktop/rtr/5apps.click/apps/favicon.ico	(from https://5apps.click/apps/)
16:40:19	13097/13097	---M-Z	200	added ('OK')	text/css	etag:%223329-625c91ac-c4b08ebbdc46632e;gz%22	https://5apps.click/apps/netdna.bootstrapcdn.com/bootstrap/3.0.0/css/bootstrap-glyphicons.css	C:/Users/FUJITSI/Desktop/rtr/5apps.click/apps/netdna.bootstrapcdn.com/bootstrap/3.0.0/css/bootstrap-glyphicons.css	(from https://5apps.click/apps/)
16:40:20	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2017%20Jul%202022%2014:40:20%20GMT	https://05apps.us/apps/fonts.googleapis.com/csse092.css?family=Open+Sans:400,300,600	C:/Users/FUJITSI/Desktop/rtr/05apps.us/apps/fonts.googleapis.com/csse092.5e092.delayed	(from https://5apps.click/apps/)
16:40:21	315577/315577	---M-Z	200	added ('OK')	text/css	etag:%224d0b9-625c91ac-c4ad93e84f13836f;gz%22	https://5apps.click/apps/build/panel/app.css	C:/Users/FUJITSI/Desktop/rtr/5apps.click/apps/build/panel/app.css	(from https://5apps.click/apps/)
16:40:21	14568/14568	---M-Z	200	added ('OK')	text/css	etag:%2238e8-625c91ac-f335fb549e8d9ad2;gz%22	https://5apps.click/apps/css/app.css	C:/Users/FUJITSI/Desktop/rtr/5apps.click/apps/css/app.css	(from https://5apps.click/apps/)
